Date,2016/09/28,
Time,16:00:00,
Memo,EKO WISER,
Sensor,MS-711,
Exposure Time(msec),200,
Sensor Temp.(deg),25.3,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
818.61,464.92,
819.01,466.87,
819.42,468.94,
819.83,468.33,
820.23,471.47,
820.64,476.90,
821.04,478.09,
821.45,477.93,
821.86,480.63,
822.26,484.56,
822.67,488.59,
823.07,491.23,
823.48,491.98,
823.89,495.29,
824.29,496.41,
824.70,498.66,
825.10,498.61,
825.51,502.61,
825.91,507.06,
826.32,510.29,
826.73,511.40,
827.13,513.03,
827.54,513.85,
827.94,514.73,
828.35,513.13,
828.75,515.57,
829.16,517.45,
829.57,518.09,
829.97,517.05,
830.38,519.40,
830.78,522.72,
831.19,528.38,
831.59,532.10,
832.00,536.42,
832.40,542.37,
832.81,544.83,
833.21,548.11,
833.62,551.02,
834.02,556.21,
834.43,562.20,
834.83,566.08,
835.24,569.52,
835.64,572.92,
836.05,576.99,
836.45,582.61,
836.86,585.77,
837.26,590.65,
837.67,595.62,
838.07,599.06,
838.48,599.44,
838.88,602.41,
839.29,607.19,
839.69,612.38,
840.10,614.68,
840.50,616.76,
840.91,617.61,
841.31,617.04,
841.72,618.86,
842.12,618.37,
842.53,619.75,
842.93,621.71,
843.34,623.30,
843.74,622.91,
844.15,621.39,
844.55,622.61,
844.95,623.73,
845.36,621.21,
845.76,620.35,
846.17,622.30,
846.57,621.02,
846.98,618.86,
847.38,617.18,
847.79,616.60,
848.19,615.75,
848.59,615.13,
849.00,612.79,
849.40,610.08,
849.81,606.15,
850.21,604.87,
850.61,599.87,
851.02,596.34,
851.42,595.58,
851.83,593.88,
852.23,590.03,
852.63,588.05,
853.04,588.53,
853.44,591.06,
853.85,590.37,
854.25,591.99,
854.65,594.48,
855.06,595.63,
855.46,596.08,
855.86,597.37,
856.27,600.23,
856.67,603.99,
857.08,607.75,
857.48,610.19,
857.88,614.37,
858.29,615.45,
858.69,618.36,
859.09,618.13,
859.50,618.71,
859.90,620.13,
860.30,620.84,
860.71,618.00,
861.11,616.47,
861.51,615.02,
861.92,613.82,
862.32,610.46,
862.72,609.25,
863.13,607.93,
863.53,603.06,
863.93,598.48,
864.34,595.91,
864.74,593.99,
865.14,592.95,
865.54,592.65,
865.95,592.08,
866.35,591.84,
866.75,591.01,
867.16,591.80,
867.56,591.55,
867.96,593.19,
868.36,595.11,
868.77,597.07,
869.17,597.48,
869.57,598.94,
869.98,600.87,
870.38,603.53,
870.78,603.57,
871.18,604.89,
871.59,605.78,
871.99,603.61,
872.39,602.60,
872.79,601.48,
873.20,601.73,
873.60,601.77,
874.00,601.14,
874.40,600.87,
874.80,600.55,
875.21,599.32,
875.61,599.36,
876.01,597.77,
876.41,596.33,
876.82,596.59,
877.22,595.65,
877.62,593.16,
878.02,592.07,
878.42,591.39,
878.82,591.35,
879.23,590.29,
879.63,589.72,
880.03,591.51,
880.43,590.07,
880.83,587.18,
881.24,585.67,
881.64,585.12,
882.04,584.49,
882.44,584.41,
882.84,583.66,
883.24,583.26,
883.65,582.41,
884.05,581.46,
884.45,578.48,
884.85,578.42,
885.25,577.56,
885.65,577.03,
886.05,574.00,
886.46,573.82,
886.86,573.35,
887.26,572.62,
887.66,570.51,
888.06,570.56,
888.46,569.22,
888.86,565.85,
889.26,561.79,
889.66,557.38,
890.07,553.96,
890.47,550.80,
890.87,545.66,
891.27,537.97,
891.67,531.07,
892.07,521.81,
892.47,511.73,
892.87,500.64,
893.27,490.32,
893.67,479.99,
894.07,467.31,
894.47,454.26,
894.87,441.94,
895.27,430.17,
895.67,419.13,
896.08,408.10,
896.48,397.49,
896.88,388.12,
897.28,379.67,
897.68,370.59,
898.08,362.25,
898.48,357.78,
898.88,354.64,
899.28,352.81,
899.68,351.38,
900.08,352.93,
900.48,355.69,
900.88,358.66,
901.28,362.22,
901.68,368.88,
902.08,374.12,
902.48,379.00,
902.88,381.88,
903.28,384.49,
903.68,386.15,
904.08,388.49,
904.48,387.50,
904.88,387.48,
905.28,386.01,
905.68,382.14,
906.07,375.83,
906.47,369.38,
906.87,364.72,
907.27,359.89,
907.67,353.05,
908.07,346.78,
908.47,341.08,
908.87,335.91,
909.27,332.37,
909.67,328.91,
