
14.12.2015	12:28:03
V	I	G
[V]	[A]	[W/m²]
20,0054	0,1048	57,4725
20,0825	0,1055	57,5080
20,1756	0,1061	57,4725
20,2206	0,1062	57,3307
20,2270	0,1061	57,2243
20,2270	0,1049	57,2243
20,2720	0,1041	57,3307
19,9187	0,1048	57,5080
20,4614	0,1052	57,5789
20,4646	0,1055	57,4371
20,6380	0,1061	57,3661
20,5738	0,1055	57,1534
20,6798	0,1049	57,0825
20,5706	0,1044	57,0471
20,7600	0,1041	57,1534
20,7311	0,1044	57,3307
20,9367	0,1049	57,4016
21,0105	0,1046	57,3661
21,0972	0,1055	57,2243
21,1036	0,1048	57,0825
21,1004	0,1043	57,1180
21,1582	0,1035	57,1534
21,0844	0,1041	57,2952
21,3156	0,1038	57,4371
21,3413	0,1046	57,4371
21,4922	0,1045	57,4725
21,1422	0,1052	57,4016
21,5821	0,1043	57,1889
21,4697	0,1039	57,1889
21,6110	0,1033	57,2243
21,6624	0,1038	57,2243
21,7427	0,1035	57,3661
21,8326	0,1038	57,4371
21,9257	0,1035	57,4016
21,9867	0,1041	57,3307
21,6431	0,1051	57,1180
22,0541	0,1041	56,9407
21,3284	0,1034	56,8698
22,0895	0,1029	57,0471
22,1408	0,1028	57,2952
22,2115	0,1029	57,4016
22,3464	0,1037	57,4725
22,4459	0,1035	57,4725
22,5037	0,1038	57,4016
22,5294	0,1034	57,1889
22,5069	0,1030	57,1534
22,5454	0,1028	57,1534
22,5583	0,1025	57,2952
22,6675	0,1025	57,4371
22,7831	0,1028	57,5080
22,7028	0,1035	57,5789
22,9404	0,1037	57,3661
22,7831	0,1033	57,1180
22,9918	0,1034	57,0471
22,9886	0,1023	56,9407
23,0239	0,1024	57,0471
22,8858	0,1019	57,1180
23,1845	0,1017	57,3307
23,2358	0,1018	57,4371
23,3771	0,1027	57,4371
23,4414	0,1027	57,3661
23,4799	0,1028	57,1889
23,5184	0,1025	57,1180
23,3675	0,1025	57,0825
23,5505	0,1011	57,1180
22,9725	0,1017	57,2952
23,6790	0,1011	57,4725
23,1716	0,1018	57,6143
23,8749	0,1016	57,5789
23,9262	0,1019	57,4725
23,9937	0,1018	57,2952
24,0129	0,1017	57,1180
24,0226	0,1011	57,0825
24,0418	0,1011	57,1180
24,0739	0,1008	57,1889
24,1414	0,1001	57,2243
24,2762	0,1010	57,3307
24,3886	0,1017	57,3307
23,4510	0,1018	57,2243
24,4593	0,1017	57,1180
24,3822	0,1014	57,1180
24,5075	0,1007	57,0825
24,5299	0,0997	57,1889
24,6070	0,0998	57,4016
24,6937	0,1001	57,5080
