
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
20,3458	0,0100	818,3363
20,3394	0,0088	818,2653

03.10.2016	14:35:00
V	I	G
[V]	[A]	[W/m²]
1,6826	4,6449	809,2952
2,2703	4,6376	809,2952
2,9639	4,6298	809,3662
3,5997	4,6249	809,5080
4,0749	4,6158	809,5080
4,6497	4,6031	809,5080
5,2502	4,5941	809,5080
5,8057	4,5841	809,4016
6,4062	4,5721	809,3307
6,9714	4,5601	809,3662
7,5141	4,5496	809,4725
8,1049	4,5323	809,4016
8,6669	4,5149	809,5080
9,2224	4,4939	809,5080
9,7779	4,4687	809,4016
10,3303	4,4394	809,2952
10,8729	4,4062	809,3307
11,3835	4,3656	809,2952
11,9166	4,3152	809,3307
12,4464	4,2532	809,3662
12,9441	4,1776	809,5080
13,4162	4,0882	809,4725
13,9107	3,9848	809,4016
14,3121	3,8695	809,3307
14,7584	3,7358	809,2952
15,2144	3,5855	809,3307
15,6190	3,4254	809,3662
15,9947	3,2553	809,4725
16,3447	3,0759	809,4016
16,6401	2,8907	809,4725
16,9548	2,7022	809,4725
17,2053	2,5199	809,3662
17,4365	2,3364	809,2952
17,7191	2,1653	809,3662
17,9118	2,0016	809,2952
18,0948	1,8466	809,3662
18,3228	1,7007	809,3662
18,4737	1,5648	809,4016
18,5925	1,4375	809,2952
18,7467	1,3183	809,2598
18,8462	1,2097	809,2598
18,9104	1,1093	809,2598
19,0646	1,0159	809,2952
19,2026	0,9294	809,4016
19,2701	0,8517	809,3662
19,3343	0,7784	809,3307
19,3664	0,7124	809,3307
19,4403	0,6520	809,3307
19,4981	0,5980	809,2243
19,5783	0,5482	809,2243
19,6233	0,5037	809,3307
19,6522	0,4609	809,4016
19,6875	0,4221	809,4016
19,7453	0,3871	809,4016
19,7614	0,3566	809,4016
19,7550	0,3287	809,3307
19,8384	0,3033	809,3307
19,8288	0,2808	809,3662
19,8417	0,2595	809,3662
19,8802	0,2390	809,3662
19,9155	0,2209	809,2598
19,9059	0,2060	809,2243
19,9316	0,1914	809,1180
19,9444	0,1789	809,2598
19,9701	0,1664	809,2952
19,9829	0,1564	809,3662
20,0022	0,1430	809,2598
20,0183	0,1344	809,2952
19,9765	0,1264	809,2598
19,9637	0,1178	809,1180
20,0054	0,1124	809,1889
20,0472	0,1066	809,2952
20,0375	0,1004	809,2952
20,0825	0,0948	809,3662
20,0375	0,0897	809,4016
19,9894	0,0855	809,3662
20,0086	0,0802	809,2952
20,0504	0,0758	809,2598
20,0375	0,0736	809,2952
20,0632	0,0709	809,2598
20,0889	0,0684	809,3307
20,1210	0,0653	809,4016
20,0664	0,0626	809,3307
20,0729	0,0577	809,2598
20,0889	0,0560	809,3307
20,0311	0,0540	809,1180
20,0279	0,0516	809,0471
20,1018	0,0508	809,0825
20,1242	0,0511	809,1889
20,0889	0,0479	809,2243
20,1403	0,0457	809,2243
20,1114	0,0455	809,2598
20,0632	0,0433	809,2598
20,0632	0,0418	809,1180
20,1018	0,0398	809,1889
20,0953	0,0403	809,1889
20,1114	0,0396	809,1180
20,1242	0,0389	809,2598
20,1275	0,0379	809,3307
20,1082	0,0364	809,3307
20,1082	0,0347	809,2243
20,1307	0,0340	809,2598
20,0953	0,0330	809,1180
20,0889	0,0315	809,1180
20,1339	0,0315	809,0825
20,1531	0,0315	809,2243
20,1339	0,0310	809,2243
20,1596	0,0296	809,2598
20,1307	0,0293	809,2598
20,0985	0,0279	809,2243
20,1146	0,0276	809,2243
20,1275	0,0276	809,1889
20,1050	0,0286	809,1889
20,1210	0,0271	809,2243
20,1692	0,0274	809,2598
20,1724	0,0266	809,2952
20,1210	0,0252	809,2952
20,1371	0,0235	809,1889
20,1403	0,0240	809,1889
20,1050	0,0235	809,0825
20,1082	0,0232	809,0116
20,1628	0,0235	809,0471
20,1949	0,0249	809,2243
20,1242	0,0240	809,1180
20,1756	0,0215	809,1180
20,1403	0,0230	809,1889
20,1018	0,0222	809,1180
20,1146	0,0205	809,0116
20,1596	0,0222	809,0471
20,1275	0,0222	809,0825
20,1403	0,0213	809,0825
20,1724	0,0215	809,2243
20,1724	0,0213	809,2952
20,1307	0,0198	809,2243
20,1339	0,0183	809,1180
20,1371	0,0186	809,1180
20,1114	0,0186	809,0471
20,1050	0,0178	809,0471
20,1756	0,0186	809,0825
20,1853	0,0193	809,2598
20,1210	0,0181	809,0825
20,1564	0,0161	809,0825
20,1307	0,0181	809,0471
20,1307	0,0181	809,0825
20,1692	0,0186	809,1180
20,1885	0,0178	809,0825
20,1820	0,0176	809,2598
20,1467	0,0161	809,1889
20,1820	0,0169	809,1889
20,1596	0,0154	809,1180
20,1307	0,0169	809,0471
20,1275	0,0159	808,9761
20,1756	0,0174	809,0825
20,1403	0,0166	809,0825
20,1531	0,0154	809,0471
20,1885	0,0147	809,0471
20,1853	0,0144	809,1889
20,1371	0,0142	809,0116
20,1692	0,0132	808,9761
20,1564	0,0154	809,0116
20,1564	0,0159	808,9761
